"class"	"text"
1	#FelizLunes. Las incongruencias d la #democracia y los #derechoshumanos Si entras a #Mexico con violencia Con una causa y n bola, como la #CaravanaMigrantes, pasas sin sanción. Pero si eres tú solo dañando propiedad pública: Atente a las consecuencias. #CDMX #chiapas #tijuana
0	#FelizMartes Abrirá @TonyGali Instituto de Migrantes para asesorar a connacionales deportados de EU: @SGGPuebla https://t.co/LPEJABKqnY https://t.co/7AkV95hFoN
1	#FueraCaravanaMigrante mandenlos a su país de mierda
1	#FueraCaravanaMigrante un apoyo alos casa de Tijuana desde la cdmx
1	#FUERACARAVANAMIGRANTE ya hay que hacer algo para que en serio se vaya esta peste #caravanamigrante
1	#fueramigrantes #fueracaravamigrante #noqueremosinmigrantes deberían de apresarlos a todos y repatriarlos que culpa tienen nuestros patriotas hermanos de Tijuana de aguantar en sus calles a esas escorias y malvivientes de la sociedad que los regresen a su país
1	#GLOBAL Protegerán alcaldes en EU a inmigrantes ilegales https://t.co/r1Qw3OMJNr https://t.co/KJa8KQj4St
0	#Guanajuato: Orienta @ieeguanajuato a #verificentros en migracíon a prueba dinámica https://t.co/2n2c4L0R1B via @kuali_noticias
0	#HappyBDayJoel Migrantes en EU ganan hasta seis veces mas que un profesionista en Mexico https://t.co/6ILcArSXP5 #insurgente
0	#HappyBirthdayJustinBieber Migrantes en EU ganan hasta seis veces mas que un profesionista en Mexico https://t.co/LrGdthprAA #insurgente
0	#HappyBirthdayJustinBieber Migrantes en EU ganan hasta seis veces mas que un profesionista en Mexico https://t.co/ObQPlJ5byl #insurgente
1	#HastaAquí de la semana más allá de la miseria, hambre, violencia, es evidente que alguien maneja las caravanas migrantes y lucra con esa desgracia y la pregunta es ¿por qué? Ve aquí   https://t.co/K7tdtmaWsA
1	#HazPatriaMataUnHondureño ellos no se van a tocar el corazón.
1	#HDP #CaravanaDeMigrantes #Hondureñosdemierda YA BASTA!!! Y todavia el ridiculo mesianico con ganas de pasar a la historia de los libros de centroamerica @lopezobrador_les ofrece trabajo , nacionalidad y lugar para quedarse BASTA!!! @Edd_Campe
1	#Hondureño disfrazado de #mexicano amenaza a reportero mexicano...#FueraCaravanaMigrante los medios no mencionan por miedo , No quiere que lo tomen por alguna razon, vienen huyendo de encarcelamiento en su pais.
1	#HoySeAntojaQue Los Hondureños de la caravana migrante se regresen a su pais. Sus problemas los resuelva su gobierno @EPN @lopezobrador_
1	#insurgente  #HappyBirthdayJustinBieber Migrantes en EU ganan hasta seis veces mas que un profesionista en Mexico https://t.co/lDvtR648An
0	#insurgente  #TeHacesPatoCuando Migrantes en EU ganan hasta seis veces mas que un profesionista en Mexico https://t.co/dFmG3BtSaa
0	#insurgente  #TeHacesPatoCuando Migrantes en EU ganan hasta seis veces mas que un profesionista en Mexico https://t.co/XNskcQiBvF
0	#Internacional George W. Bush critica a Trump en migración, prensa y Rusia https://t.co/eKcuPALbtu https://t.co/MCCLAI41B1
1	#Internacional Prevén expulsión masiva de migrantes Más en → https://t.co/Ouy6WWEiTj https://t.co/vCN1LviTGD
0	#Internationales  #México vigila su frontera sur ante el posible arribo de migrantes hondureños; cientos de elementos de la Guardia Nacional, del Ejército y de la Secretaría de Marina Armada se sumaron a los 500 agentes migratorios para frenar la caravana de migrantes. https://t.co/9R5iKZRJy1
1	#INVASIÓN_D_MIGRANTES en el #Estado_de_Baja_Califormia #Destrucción_de_México https://t.co/cL3lortLedón-de-Baja-California-por-migrantes-rechazados-por-USA @ejercitodmx= #BORDER_PATROL @PACOBACA @NERILICON  @POTUS #VAMOS_A_CONSTRUIR_EL_MURO, #Y_MÉXICO_SE_VA_A_CONVERTIR_EN_EL_MURO https://t.co/F7Cxf5Vg2w
1	#jajaja jajaja entiéndanlos no hay pizza en su país jajaja jajaja es un manjar para ellos jajaja #FueraCaravanaMigrante #hondurenos Jodidos
1	#LaDe8 La #CaravanaMigrante rompió el cerco policial mexicano y trato de cruzar ilegalmente la frontera. https://t.co/bhCs91015i vía @enfoqueinforma https://t.co/Vv3Qmx1ALS
0	#LasNoticiasConDanielle Migrantes en EU ganan hasta seis veces mas que un profesionista en Mexico https://t.co/Id1qiTkCbX #insurgente
0	#LOOP Migrantes en EU ganan hasta seis veces mas que un profesionista en Mexico https://t.co/CweQmXx3xr #insurgente
1	#LopezEnemigoDeMexico  Ahora quiere qué guatemaltecos voten por su corrupto gobierno.
0	#LopezMexicoTeRepudia Así es una fregadera  de lópeztozo invitar al criminal dictador cubano a nuestro País, en el día de nuestra Independencia.
1	#MásLeído Extraen a 20 migrantes de albergue; hay maras y problemáticos https://t.co/thJB85Zmqa
1	#MesaParaTodos que no dejen pasar a los migrantes y que militaricen la frontera. Ya hay demasiado indocumentado y muchos de ellos delincuentes.
0	#México  Organizaciones civiles apoyan trabajo de gobiernos a favor de migrantes https://t.co/1tGZY2XQqv https://t.co/FrTVW5SFON
1	#Mexico #NoCaravanaMigrante
1	#México está mejor sin Obrador y las hordas de migrantes falsos que están empleando para invadir el país. https://t.co/gQ4Ro4xBB5
0	#MéxicoEnLaEncrucijada México no te preocupes!Responsabilízate ahora hay que trabajar x2 x3 x4 por nuestros migrantes 👍🏼
0	#MiCountryTuCountry o cómo alzar la voz por los migrantes en asunción de #Trump @CONAPRED   https://t.co/6pjcDtbm6n
1	#Migracion  Investigan a migrantes que intentan comprar niños para facilitar su paso hacia EU    Urbano | Noticias Mexico https://t.co/1YLqP4EvpF
0	#Mundo Estamos aquí por lo que ustedes hacen allá: migrantes a Ochoa https://t.co/cx3S5vcMvO
1	#MuroEnFronteraSur #FueraCaravanaMigrante
0	#Nacional   Analizan estrategia para defender a migrantes https://t.co/VuvKgfjqoQ https://t.co/COMsZXmVgG
0	#Nacional Acredita CNDH violación a derechos de 112 migrantes entre 2017-18 https://t.co/bRGxzsOEPb @CNDH https://t.co/6SgPQ65PzF
0	#Nacional Detenidos, 105 mil migrantes; 77 mil deportados: INM https://t.co/FH7EfyZ5MY https://t.co/7TM4GDQ2md
1	#Nacional Injusto, castigar a México por apoyar a migrantes: AMLO https://t.co/ODMRz9uQ3H @lopezobrador_ @magnateUSA @m_ebrard https://t.co/QIxq3N6VlZ
0	#Nacional 🇲🇽 | Investigan red que presta servicio de transporte a migrantes https://t.co/i05ivddWJI https://t.co/7H9NYWgVta
1	#Nayarit SI es prioridad @lopezobrador_ @MeyerFalcon NO la #CaravanaMigrante HAY MEXICANOS SIN ZAPATOS PERDIERON TODO Yustedes dando opciones y oportunidades a quien no nacio ni lucho por la nacion, BASTA DE BUSCAR LIKES, VOTOS Y APROBACION, el pueblo los esta viendo #TRAIDORES
1	#NoaLaCaravanaMigrante @EPN  porfavor ponga en acción a los federales... Esto es un riesgo de salud Pública... Estos países tienen altos índices de VIH, tuberculosis y cólera... Ojalá tomen las medidas necesarias...
1	#NoALaCaravanaMigrante @JonAGranadosG  y si no te gusto hijo de tu puta madre te puedes largar con la puta de tu madre a tu mierda pais en centro america cerote ! fuera de mexico !!!
1	#NoALaCaravanaMigrante de invasores en México, como si aquí no hubiera gente en peores condiciones, sin trabajo, sin agua, sin techo. Este es un $#% país de pacotilla! Porq $#% usan nuestros impuestos para ellos? Y el ejército q debe cuidar la mentada #soberania nacional?
1	#NoALaCaravanaMigrante Hermano Centroamericano no es que no querramos...Es que no podemos recibirte como te lo mereces. En estos momentos nuestro país no  es voyante ni seguro para ti ni para nosotros. Estamos igual o peor que tu propio país.
1	#NoALaCaravanaMigrante No a los Centroamericanos, si el peje los quiere ayudar, que se los lleve a su rancho, ahí caben
1	#Noalacaravanamigrante primeros somos los poblanos. No es posible que estemos en constante inseguridad y ahora esto
0	#NoAyuda que el 80 % de las mujeres migrantes en su paso por México sean violadas.  https://t.co/uRXUSApRH1
1	#NoCaravanaMigrante #CaravanaHondureña #CaravanaMigrante #Migrante  cansada de los que apoyan esta caravana de locura por sumar likes y sentir que con esto se van al cielo... falsa moral
1	#NoCaravanaMigrante #CaravanaHondureña #CaravanaMigrante #Migrante cansada de los que apoyan esta caravana de locura por sumar likes y sentir que con esto se van al cielo... falsa moral
1	#NoCaravanaMigrante #CaravanaMigrante #Maras Liberaron presos en #Honduras y #ElSalvador para que se fueran .ustedes creen que este pandillero entrara a los US? El se va a quedar a DELINQUIR en #MEXICO #Trump @jorgeramosnews @Edd_Campe @mau_rodriguez77 @NachoRgz @JucaNoticias
1	#Nocaravanamigrante #nomasmigrantes @gobmx México necesita ayuda para sus ciudadanos, no para migrantes
1	#nocaravanamigrante Ahora resulta que hasta exigen a nuestro gobierno, ¿con que derecho vienen a nuestro país a INVADIR y crear caos?, que exijan a su gobierno y hagan valer sus derechos que les corresponden alla, no en Mexico.
1	#nocaravanamigrante Mexico no debe de permitir la entrada de estos migrantes a territorio Mexicano y es sumamente necesario y de manera urgente llamar al ejercito Mexicano para que resguarde la frontera, ya que esta gente no viene en son de Paz.
1	#nocaravanamigrante Yo como mexicano le exijo a Peña Nieto, el presidente de mi Pais que llame a las fuerzas armadas y saquen a esos INVASORES de nuestro pais, si no lo detienen ahora esto va a empeorar y aqui se van a quedar, a traer mas pobreza y delincuencia.
1	#NoMasCarabana #FueraCaravanaMigrante solo perjudican al país y desperdician comida. #QuihuboleAMLO ahora que vas a hacer para defendernos?
1	#NoviembreMeGustas para que todos los migrantes ilegales regresen a su casa. Tenemos los propios y mucho que hacer x mexicanos pobres
0	#Oaxaca - Sostiene @IOAM_GobOax , encuentro con #migrantes en Arizona https://t.co/KlrWG4i5TD
0	#Opinión de Alexandra Haas | Migrantes: vidas marcadas por la discriminación https://t.co/mAYC4azU0v https://t.co/vaDcwWuYks
0	#Opinión Migrantes. Los primeros 20 minutos, escribe Juan Manuel Asai @soycamachojuan en su columna #EspejoNegro https://t.co/WoPKUQpbLd
0	#Opinión Trump duro de ablandar; Apoyo a migrantes expulsados, por @joma61jorge  https://t.co/WE03urSlvr …
0	#Opinión Trump duro de ablandar; Apoyo a migrantes expulsados, por @joma61jorge https://t.co/WE03urSlvr
0	#Opinión Trump duro de ablandar; Apoyo a migrantes expulsados, por @joma61jorge https://t.co/WE03urSlvr …
1	#Peje @lopezobrador_  @EPN #NoALaCaravanaMigrante #PejeLlevatelosAtuRancho #NoALaCaravanaMigrante No está bien la forma agresiva de los migrantes Primero los mexicanos y su seguridad. #Lopez llévatelos a tú rancho, ahí si estarán bien *Candil de la calle y obscuridad de tu casa
1	#Política Confirma Apolinar Casillas retiro de predio a Estancia de Migrantes.  Sin precisar el motivo, presumió que se trató de un término en los plazos de la donación del predio que se hizo en la administración 2012-2015.  👉https://t.co/ME89gKM7ZN https://t.co/fIjVEklYnh
0	#Política Vendrán 700 camionetas en Caravana del #Migrante: Carlos Sánchez Tapia https://t.co/ea8DWlx8ON
1	#PuenteHumanitario  necesario un gobierno con pantalones que no le importe obtener likes, sino defender nuestra soberania. @MeyerFalcon @lopezobrador_ @Claudiashein sienten que con esto pasaran a la historia de los libros de Centroamérica. #YAnosfallaste #YaNosFallaron
1	#QueHubieraDichoAMLO   si administraciones anteriores hubieran despedido a miles de personas, q la delincuencia subiera a niveles intorelables, Q regalaran dinero a centroamericanos, a migrantes, a ninis, q siempre culparan a anteriores admistraciones
0	#REGIÓN Maestros jubilados darán clases a migrantes deportados https://t.co/u2I1ChxOaZ #Tamaulipas
0	#SabesQueEsLuchona Migrantes en EU ganan hasta seis veces mas que un profesionista en Mexico https://t.co/uyR6AJhEch #insurgente
0	#Seguridad Tren cercena pierna a migrante en San Juan del Río https://t.co/k1QIeOGjoA
1	#Seguridad 🚓 | Detienen a migrante infectado con bacteria carnívora en Nuevo México https://t.co/83Qg2LKNFZ https://t.co/gRCn3M15Wj
1	#Seguridad 🚓 | Detienen en Chiapas a migrantes que vendían mariguana en bolsitas de dulce https://t.co/8VPyEPrNuh https://t.co/lsBW6VvgxA
1	#SiaLaCaravanaMigrante pero en ORDEN y LEGAL. No podemos tener por las calles a personas sin algún registro por si en un futuro comenten algún delito. Estoy a favor de la migración ordenada y con registro, no que entren en manada y violentamente!!!
0	#SinEmbragues El @difchiapas le otorga a pariente del ex gobernador @VelascoM_ coello la concesión de darle de comer a cada migrante ( si no comen carne. Solo huevos con arroz y agua fresca les dan) diariamente con un costo de $250 pesos, @lopezobrador_ https://t.co/ozXEmsKfTM
1	#TANTITA_VERGÜENZA @SEDENA_MX @SEMAR_MX @POTUS:México no está haciendo NADA para ayudar a detener el flujo de inmigrantes ilegales hacia nuestra frontera sur… @PacoBaca  #ELUNIVERSAL_MX  @LaRazon_MX  https://t.co/b2vBBZQm42üenza-SEDENA_MX-SEMAR_MX&amp;p=692853#post692853
0	#TeAmamosPapaJZ Migrantes en EU ganan hasta seis veces mas que un profesionista en Mexico https://t.co/kX1143Cv7z #insurgente
0	#TeHacesPatoCuando #insurgente Migrantes en EU ganan hasta seis veces mas que un profesionista en Mexico https://t.co/MaMWab4n2C
0	#Tijuana Denuncian escurrimiento de aguas negras en el corredor turístico de la avenida Revolución. https://t.co/ehtCfy4nDD
1	#Tlaxcalaaqui  La entidad segunda o tercera más segura del,país, se incorpora primero a la trata de migrantes y ahora al envío ilegal de ellos a la frontera con EEUU. Rescatan a estos, pero,  como es normal no hay detenidos... tuvieron tiempo de huir y ahora @pgje_tlax lo dice. https://t.co/ED70duxa6w
0	#TorneoAnahuac Migrantes en EU ganan hasta seis veces mas que un profesionista en Mexico https://t.co/NSZ3w9K80E #elinsurgente
1	#Trump advierte a #México de cerrar frontera si no detiene caravana #migrante  ➡ https://t.co/zEdzYoiHbm https://t.co/pubKHN1uJ3
0	#Trump estigmatizó a los inmigrantes, pero, si gana, en realidad el pueblo norteamericano fue quien en realidad no nos quiere
